IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location
041006190,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,09/02/2004,23:00,BAYVIEW,NONE,GALVEZ AV / MENDELL ST,-122.385835676542,37.7396105936758,"(37.7396105936758, -122.385835676542)"
100413044,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,05/04/2010,17:02,BAYVIEW,NONE,SILVER AV / PRINCETON ST,-122.416175737854,37.7289189892423,"(37.7289189892423, -122.416175737854)"
100319618,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,04/06/2010,14:30,PARK,NONE,0 Block of SHRADER ST,-122.452974548082,37.7744879867235,"(37.7744879867235, -122.452974548082)"
080449434,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,04/29/2008,17:30,MISSION,DISTRICT ATTORNEY REFUSES TO PROSECUTE,14TH ST / GUERRERO ST,-122.424412715064,37.7680054163824,"(37.7680054163824, -122.424412715064)"
051073189,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,02/13/2006,16:00,NORTHERN,NONE,STEINER ST / LOMBARD ST,-122.437698529469,37.7996328370724,"(37.7996328370724, -122.437698529469)"
090636295,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,06/21/2009,21:34,BAYVIEW,"ARREST, BOOKED",3RD ST / NEWCOMB AV,-122.390416955474,37.7355926105862,"(37.7355926105862, -122.390416955474)"
141070504,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,12/21/2014,04:25,SOUTHERN,NONE,900 Block of MISSION ST,-122.40805253847,37.7815668300024,"(37.7815668300024, -122.40805253847)"
031357232,NON-CRIMINAL,TRAFFIC ACCIDENT,Wednesday,11/19/2003,09:50,NORTHERN,NONE,LARKIN ST / POST ST,-122.418274171667,37.7870372043456,"(37.7870372043456, -122.418274171667)"
141023989,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,12/04/2014,21:00,RICHMOND,"ARREST, BOOKED",500 Block of JOHNFKENNEDY DR,-122.466204667893,37.7725405391593,"(37.7725405391593, -122.466204667893)"
091017523,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,10/02/2009,15:20,BAYVIEW,NONE,SILVER AV / BAY SHORE BL,-122.404658361435,37.7329487043192,"(37.7329487043192, -122.404658361435)"
071133854,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,11/04/2007,22:18,MISSION,"ARREST, BOOKED",17TH ST / DOLORES ST,-122.426228446916,37.7630312947078,"(37.7630312947078, -122.426228446916)"
030418326,NON-CRIMINAL,TRAFFIC ACCIDENT,Tuesday,10/14/2003,16:30,TARAVAL,NONE,3200 Block of 20TH AV,-122.475647460786,37.7285280627465,"(37.7285280627465, -122.475647460786)"
060295752,NON-CRIMINAL,TRAFFIC ACCIDENT,Saturday,03/18/2006,13:22,SOUTHERN,NONE,200 Block of INTERSTATE80 HY,-122.365565425353,37.8096707013239,"(37.8096707013239, -122.365565425353)"
081309841,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,12/08/2008,11:48,BAYVIEW,"ARREST, BOOKED",REVERE AV / HAWES ST,-122.382690587869,37.727426135786,"(37.727426135786, -122.382690587869)"
081175363,NON-CRIMINAL,TRAFFIC ACCIDENT,Monday,11/03/2008,02:12,SOUTHERN,"ARREST, BOOKED",200 Block of 11TH ST,-122.414258651144,37.7719723687579,"(37.7719723687579, -122.414258651144)"
040175782,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,02/13/2004,00:02,MISSION,"ARREST, BOOKED",18TH ST / FOLSOM ST,-122.415000536794,37.7620990020727,"(37.7620990020727, -122.415000536794)"
130474771,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,06/09/2013,14:15,TARAVAL,NONE,19TH AV / JUNIPERO SERRA BL,-122.472570418291,37.7171734075622,"(37.7171734075622, -122.472570418291)"
130976040,NON-CRIMINAL,TRAFFIC ACCIDENT,Sunday,11/17/2013,23:21,INGLESIDE,"ARREST, BOOKED",MISSION ST / FAIR AV,-122.419888691537,37.7455956089322,"(37.7455956089322, -122.419888691537)"
040748969,NON-CRIMINAL,TRAFFIC ACCIDENT,Thursday,07/01/2004,09:26,MISSION,JUVENILE CITED,3100 Block of 18TH ST,-122.413443036787,37.7622481371408,"(37.7622481371408, -122.413443036787)"
100937890,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,10/08/2010,22:58,RICHMOND,"ARREST, BOOKED",39TH AV / FULTON ST,-122.499181851123,37.7718841032344,"(37.7718841032344, -122.499181851123)"
120967344,NON-CRIMINAL,TRAFFIC ACCIDENT,Friday,11/30/2012,12:33,SOUTHERN,NONE,BRANNAN ST / 9TH ST,-122.407004255241,37.770049109612,"(37.770049109612, -122.407004255241)"
